"","M","totInt","specNo"
"589",211.02,7017.87744140625,"95"
"590",211.08,33399.9599609375,"11"
"591",211.09,2535.86694335938,"11"
"592",211.12,8210.3740234375,"10"
"593",211.13,12733.7412109375,"10"
"594",211.14,23505.2275390625,"54"
"595",211.15,0,"54"
"596",211.18,0,"69"
"597",211.19,42681.96484375,"62"
"598",211.2,44789.296875,"62"
"599",211.21,0,"62"
"600",211.22,29516.0639648438,"133"
"601",211.23,0,"133"
"602",211.24,0,"102"
"603",211.25,50194.7863769531,"102"
"604",211.26,2178.32055664062,"102"
"605",211.3,8602.73840332031,"70"
"606",211.31,4463.94860839844,"70"
"607",211.34,25391.1411132812,"43"
"608",211.35,0,"43"
"609",211.39,7764.21826171875,"165"
"610",211.4,11966.2702636719,"165"
"611",211.41,21572.6665039062,"69"
"612",211.42,0,"69"
"613",211.45,5145.51171875,"151"
"614",211.46,22821.3330078125,"75"
"615",211.47,29451.1301269531,"75"
"616",211.48,13680.8762207031,"75"
"617",211.49,0,"191"
"618",211.5,20900.5092773438,"191"
"619",211.51,0,"191"
"620",211.53,0,"165"
"621",211.54,23295.7780761719,"165"
"622",211.55,0,"165"
"623",211.56,0,"114"
"624",211.57,27238.5336914062,"114"
"625",211.58,0,"26"
"626",211.59,31300.958984375,"26"
"627",211.6,12752.56640625,"26"
"628",211.61,0,"143"
"629",211.62,26275.3901367188,"143"
"630",211.63,0,"143"
"631",211.65,10517.0693359375,"40"
"632",211.66,19029.890625,"40"
"633",211.67,11249.1070556641,"46"
"634",211.68,6557.07568359375,"46"
"635",211.69,34490.6220703125,"153"
"636",211.7,0,"153"
"637",211.71,0,"150"
"638",211.72,30798.8876953125,"150"
"639",211.73,0,"150"
"640",211.76,14912.4418945312,"95"
"641",211.77,3112.974609375,"95"
"642",211.79,0,"82"
"643",211.8,60706.8520507812,"41"
"644",211.81,29512.9038085938,"41"
"645",211.82,34787.2604980469,"117"
"646",211.83,26800.1416015625,"117"
"647",211.84,26572.4797363281,"117"
"648",211.85,0,"157"
"649",211.88,0,"146"
"650",211.89,24454.5546875,"146"
"651",211.9,0,"146"
"652",211.92,4472.98193359375,"133"
"653",211.93,24327.2817382812,"133"
"654",211.98,0,"162"
"655",211.99,26740.7646484375,"99"
"656",212,21213.1635742188,"97"
"657",212.01,21735.6628417969,"97"
"658",212.02,0,"60"
"659",212.03,49734.3327636719,"1"
"660",212.04,3628.24658203125,"1"
"661",212.06,20220.4377441406,"62"
"662",212.07,25286.0439453125,"62"
"663",212.12,35627.3522949219,"147"
"664",212.13,0,"147"
"665",212.22,19037.2045898438,"116"
"666",212.23,3492.47216796875,"116"
"667",212.24,0,"139"
"668",212.25,31884.0798339844,"139"
"669",212.26,2911.36645507812,"139"
"670",212.28,0,"176"
"671",212.29,36698.2875976562,"6"
"672",212.3,8373.3916015625,"6"
"673",212.32,25943.4333496094,"87"
"674",212.33,31090.3415527344,"87"
"675",212.34,10307.5390625,"185"
"676",212.35,16588.2377929688,"185"
"677",212.36,0,"169"
"678",212.37,61873.7321777344,"82"
"679",212.38,14157.8142089844,"82"
"680",212.4,0,"107"
"681",212.41,21272.0659179688,"107"
"682",212.42,9731.8779296875,"63"
"683",212.43,14819.0668945312,"63"
"684",212.45,19208.2568359375,"123"
"685",212.46,20406.9755859375,"123"
"686",212.51,16425.3491210938,"2"
"687",212.52,24539.1918945312,"2"
"688",212.53,37824.9001464844,"110"
"689",212.54,19078.591796875,"56"
"690",212.55,30675.6098632812,"56"
"691",212.56,3820.873046875,"116"
"692",212.57,7769.37255859375,"91"
"693",212.58,14838.4409179688,"91"
"694",212.61,2590.82958984375,"70"
"695",212.62,13520.2880859375,"70"
"696",212.72,0,"34"
"697",212.73,21878.6254882812,"34"
"698",212.74,27021.81640625,"34"
"699",212.75,0,"139"
"700",212.76,23801.4289550781,"139"
"701",212.77,0,"139"
"702",212.8,0,"19"
"703",212.81,21473.9189453125,"19"
"704",212.82,0,"19"
"705",212.84,16457.087890625,"102"
"706",212.85,8079.2548828125,"102"
"707",212.89,0,"143"
"708",212.9,43451.025390625,"46"
"709",212.91,23850.7817382812,"46"
"710",212.92,0,"46"
"711",212.93,49048.3251953125,"154"
"712",212.94,0,"154"
"713",212.96,12041.4609375,"136"
"714",212.97,34294.1921386719,"132"
"715",212.98,24732.923828125,"132"
"716",212.99,0,"132"
"717",213.05,0,"114"
"718",213.06,26025.8002929688,"114"
"719",213.07,0,"114"
"720",213.11,25502.8759765625,"48"
"721",213.12,52168.8002929688,"48"
"722",213.13,3334.5400390625,"144"
"723",213.14,23439.92578125,"144"
"724",213.15,0,"144"
"725",213.18,8793.12353515625,"72"
"726",213.19,40208.9467773438,"72"
"727",213.2,24527.8117675781,"76"
"728",213.21,0,"191"
"729",213.22,0,"95"
"730",213.23,22415.8331298828,"95"
"731",213.24,17985.9645996094,"95"
"732",213.25,28024.2839355469,"148"
"733",213.26,0,"192"
"734",213.27,2542.24267578125,"130"
"735",213.28,17844.3115234375,"130"
"736",213.29,3505.666015625,"166"
"737",213.3,20857.55078125,"166"
"738",213.31,18870.6646728516,"177"
"739",213.32,0,"177"
"740",213.39,27856.8369140625,"5"
"741",213.4,0,"5"
"742",213.44,11107.4370117188,"86"
"743",213.45,25412.03125,"86"
"744",213.47,0,"188"
"745",213.48,25775.9028320312,"188"
"746",213.49,0,"188"
"747",213.52,20669.6948242188,"84"
"748",213.53,15742.11328125,"84"
"749",213.54,29910.7829589844,"201"
"750",213.55,0,"201"
"751",213.58,22105.6564941406,"99"
"752",213.59,3478.15112304688,"99"
"753",213.6,3216.48681640625,"111"
"754",213.61,24515.5258789062,"111"
"755",213.63,44944.3583984375,"59"
"756",213.64,16184.6918945312,"59"
"757",213.66,0,"20"
"758",213.67,25416.97265625,"20"
"759",213.68,7523.42236328125,"20"
"760",213.69,47692.779296875,"69"
"761",213.7,0,"86"
"762",213.71,32775.48828125,"114"
"763",213.72,36404.2431640625,"114"
"764",213.73,17838.7321777344,"119"
"765",213.74,12802.2451171875,"119"
"766",213.76,0,"58"
"767",213.77,33910.4677734375,"58"
"768",213.78,33919.4204101562,"58"
"769",213.79,4362.15576171875,"77"
"770",213.8,24385.0590820312,"152"
"771",213.81,3915.26611328125,"152"
"772",213.84,3717.80541992188,"117"
"773",213.85,21369.4182128906,"117"
"774",213.88,3886.31469726562,"38"
"775",213.89,25022.3391113281,"38"
"776",213.94,2983.65234375,"95"
"777",213.95,14533.9223632812,"95"
"778",214,0,"131"
"779",214.01,28750.1977539062,"131"
"780",214.02,0,"46"
"781",214.03,26828.8023681641,"24"
"782",214.04,27111.630859375,"24"
"783",214.05,9523.1328125,"123"
"784",214.07,0,"165"
"785",214.08,18991.1735839844,"86"
"786",214.09,32985.0361328125,"86"
"787",214.1,28933.3608398438,"86"
"788",214.11,46245.4099121094,"63"
"789",214.12,3222.87744140625,"53"
"790",214.13,32994.9494628906,"53"
"791",214.14,20929.4526367188,"53"
"792",214.15,20729.1596679688,"132"
"793",214.16,0,"132"
"794",214.21,0,"168"
"795",214.22,25581.2377929688,"12"
"796",214.23,45655.0446777344,"12"
"797",214.24,0,"12"
"798",214.26,0,"166"
"799",214.27,29086.4658203125,"166"
"800",214.28,0,"166"
"801",214.29,32322.5571289062,"114"
"802",214.3,2797.41455078125,"114"
"803",214.31,2726.72729492188,"33"
"804",214.32,32828.4904785156,"3"
"805",214.33,48143.7622070312,"3"
"806",214.34,22382.2111816406,"3"
"807",214.41,0,"53"
"808",214.42,21255.595703125,"53"
"809",214.43,0,"53"
"810",214.44,19583.5922851562,"165"
"811",214.45,0,"115"
"812",214.46,78211.2541503906,"115"
"813",214.47,7888.23315429688,"115"
"814",214.51,5866.22473144531,"95"
